,/manipulator_wrench.fx,/manipulator_wrench.fy,/manipulator_wrench.fz,/manipulator_wrench.tx,/manipulator_wrench.ty,/manipulator_wrench.tz,/ground_truth.x,/ground_truth.y,/ground_truth.z,/joint_states.elbow_joint,/joint_states.shoulder_lift_joint,/joint_states.shoulder_pan_joint,/joint_states.wrist_1_joint,/joint_states.wrist_2_joint,/joint_states.wrist_3_joint,/mode./mode,/manipulator_pose.x,/manipulator_pose.y,/manipulator_pose.z,/manipulator_pose.rx,/manipulator_pose.ry,/manipulator_pose.rz,/manipulator_pose.rw
4.2,0.19618734867129578,0.43459310459669837,0.06356320239199484,-0.017099251726726817,0.015482533214862239,-0.014425857921393689,-0.07967384095833595,0.15542217535625502,0.9846298718459737,-1.8175961507138116,-2.0578849826506445,4.154123598919816,0.878849226219477,1.3477713179839976,-1.3019395641055673,1.0,0.48217456472480796,0.48394582793915464,0.3234176129124292,-0.6480445332637693,0.09771935031362763,-0.44736727580696056,0.6085653062887212
4.3,-0.020084889644058107,0.43595195445709334,0.04680730136363024,-0.018734651415480825,0.0179828203686292,-0.0097016703769029,-0.07970807430402851,0.15541763353573215,0.9846276879123605,-1.8162075275799026,-2.0586109081906754,4.153838682622903,0.8779873202986405,1.3480210304260254,-1.3018931618084078,1.0,0.48237112130417875,0.4841179610682677,0.3233625349351289,-0.6481048532049302,0.09771941836036473,-0.44736603005831993,0.6085019717941648
4.4,-0.0003116385191940102,0.5520490129723046,0.02614271189926297,-0.01899305094786518,0.016230027151237173,-0.0086421181444924,-0.07936862353101302,0.1548092069193239,0.9847508757648343,-1.8144600278429324,-2.0593024363431285,4.153661467832572,0.877223036214907,1.348267002967413,-1.3018481279192788,1.0,0.4826546050992561,0.48440453492648894,0.3234539814191875,-0.6481075314217872,0.09772023171575767,-0.4473512055031177,0.6085098873171113
4.5,0.19641568501788853,0.378117025027333,0.06344821738389178,-0.015016503952118555,0.010966938627711108,-0.01629588379875928,-0.07927352038640705,0.15466287354123434,0.9847815592177127,-1.812841024234512,-2.0600106274325354,4.153467373930107,0.8763865078818521,1.348519035789984,-1.3018294994394397,1.0,0.483154864409148,0.48493903511656583,0.32370253509776276,-0.6480317251696041,0.09772006959236763,-0.4473607375007643,0.6085836357603954
4.6000000000000005,0.20160427729557978,0.04295721442273209,0.14922454292356707,-0.02434968578518983,0.011180141097785899,-0.013749748560761495,-0.07963499716935571,0.1553799923629813,0.9846393919973898,-1.8113238592708811,-2.060840381325295,4.153223290162928,0.8756615280002154,1.3487250945147347,-1.3017477362710959,1.0,0.48339135624982776,0.48518147963200225,0.32376443473760474,-0.648031304478299,0.09772236762284948,-0.4473564753704669,0.6085868477271354
4.7,0.11611477316357327,0.22452503733718743,0.14386150581448262,-0.02470348762243988,0.011225022373593085,-0.01609833189417435,-0.07989487324467333,0.15591817340659136,0.984533552594447,-1.809680559151791,-2.0617879806042274,4.153011153680593,0.8748949218589884,1.3489696278745829,-1.301762739336829,1.0,0.48369480274649773,0.4854976126095447,0.32379987140931316,-0.6480353844485377,0.09773599549041367,-0.44733923431943867,0.6085929880689002
4.800000000000001,0.14314432284935089,0.2929009271478893,4.6339765568621794e-05,-0.023487406846976793,0.016149563785706332,-0.013171632672912355,-0.07995663848713408,0.1561074443581083,0.9844985486642568,-1.8080996299507381,-2.0627054488298993,4.152721128897329,0.874030476640981,1.3492725207050005,-1.301739517842428,1.0,0.48420028674069954,0.48602306722447,0.32384480077238487,-0.6480597115504171,0.09770181012955935,-0.44733368320723527,0.608576652880183
4.9,0.20157827330199066,0.3842190609321341,0.18487824884945836,-0.019588271964420274,0.016586598573865508,-0.01881778598529412,-0.07996886783883445,0.15617645018350773,0.9844866151800075,-1.806574821472168,-2.0634896648227232,4.1525444984436035,0.8731610539086118,1.349452194769055,-1.301663840434331,1.0,0.48443089003673456,0.48628207865035916,0.32380597461459987,-0.6481183048101177,0.09767710485621184,-0.4473065039866018,0.6085381973617203
5.0,-0.03766362453480687,0.49670764685176666,0.005988342491591664,-0.02281362485594309,0.014904981177413026,-0.012926205458344973,-0.07990076597848329,0.15606711889796637,0.9845094156171545,-1.8048765450389985,-2.064164910957456,4.152328648773057,0.8724429408475635,1.3496634437117685,-1.3016315950825548,1.0,0.4848978606650633,0.4867636397963389,0.32388461074786157,-0.6481379331238096,0.09768344105558902,-0.4472998523793525,0.6085211640123496
5.1000000000000005,0.2424074585358624,0.03103496455993214,0.011305330368944278,-0.02916107090150787,0.018633024031535255,-0.016076653836285208,-0.07968287657835686,0.15562985912687807,0.9845962430917883,-1.8033614662537785,-2.064906673920735,4.152083892672275,0.8716861444660644,1.3499060995193772,-1.3016063484683145,1.0,0.48510907826306837,0.48695190522826565,0.3240190569080655,-0.6480721030704553,0.09769110721685094,-0.4473261403578823,0.6085707197566304
5.2,0.28462070983408394,0.12487109752822012,-0.0011065602114539372,-0.03090993536740959,0.015032239113954942,-0.01765606450540364,-0.07960295446254131,0.1554454805922166,0.9846319093574227,-1.8018328901716267,-2.0656323305096445,4.151813603835777,0.87083546697583,1.3500872418618264,-1.301615426137335,1.0,0.4854471361782473,0.4872771450460668,0.3241170401817907,-0.648051780748906,0.0976906379392634,-0.4473391026828902,0.6085829080232688
5.300000000000001,0.19669190029088443,0.48372707165787177,-0.1185360187654863,-0.022956433268070765,0.011109654107563264,-0.020860270796234693,-0.0798311625220581,0.15582587609154203,0.9845533143880265,-1.8000266697500027,-2.066455244828654,4.151608943939209,0.8700332261177078,1.3503261076115693,-1.3015363852130335,1.0,0.4859350843058407,0.48773153950712245,0.32426025088896554,-0.648048788115747,0.0977087318918199,-0.4473439258030632,0.6085796447309982
5.4,0.2323369654076447,0.1996016078028005,-0.11010319251607006,-0.02197956139497945,0.012488085940794326,-0.016221432926526995,-0.0798623508337109,0.15588271349114013,0.9845418140740241,-1.798478956398057,-2.0673743519907095,4.151336256640716,0.8691999957956572,1.3505706369197756,-1.3014791898287463,1.0,0.4861522060406086,0.487950183869356,0.32437011028484825,-0.647991718090946,0.09772686553657851,-0.44736184157481007,0.6086243305527098
