,/manipulator_wrench.fx,/manipulator_wrench.fy,/manipulator_wrench.fz,/manipulator_wrench.tx,/manipulator_wrench.ty,/manipulator_wrench.tz,/ground_truth.x,/ground_truth.y,/ground_truth.z,/joint_states.elbow_joint,/joint_states.shoulder_lift_joint,/joint_states.shoulder_pan_joint,/joint_states.wrist_1_joint,/joint_states.wrist_2_joint,/joint_states.wrist_3_joint,/mode./mode,/manipulator_pose.x,/manipulator_pose.y,/manipulator_pose.z,/manipulator_pose.rx,/manipulator_pose.ry,/manipulator_pose.rz,/manipulator_pose.rw
0.2,-11.886000968952219,-5.353047247586999,-9.054904628713288,-0.11995860989668866,0.1686851276490055,0.44809023863446973,-0.04567355600547735,0.048611254699575154,0.997772952476581,-1.6930943185867071,-1.7170196282794346,4.1457010278181405,-0.1267040871121092,1.362354819147346,-1.3653009248332542,1.0,0.47757754083288656,0.4713793528638992,0.4190251501566573,0.8279797795216004,-0.0522257623540643,0.37188796333370205,-0.41643882765348605
0.30000000000000004,-11.879577375547882,-5.09356769799387,-8.941056671269413,-0.11474080005941112,0.16222549510548695,0.4477214248807275,-0.04571555128314877,0.04868062686710497,0.9977676504105328,-1.6911712227824927,-1.7196802953291144,4.145348731344359,-0.12590831181187587,1.362729910082249,-1.3654924342263501,1.0,0.4776857693989607,0.4714962472785416,0.41894742158894416,0.8279832036869966,-0.052215773324008244,0.37189360592088494,-0.41642823307690746
0.4,-11.703578369546285,-5.0194104100955945,-8.86610421544201,-0.12938499029248954,0.1594137608406926,0.4487917276717927,-0.045695913859447865,0.04868769043594915,0.9977682005980923,-1.6883440017700195,-1.7232684911381622,4.144748243500339,-0.12502410362982808,1.3635100631895953,-1.365700442195834,1.0,0.4783296191108055,0.4722279018689439,0.41844287224636245,0.8280310548064252,-0.05218538696854299,0.3718446336486786,-0.41638062645827123
0.5,-12.041506661700014,-5.06232037008288,-9.165899350029571,-0.13186291412131648,0.1580111946196754,0.4500463250432318,-0.04552162817739972,0.04858700459500789,0.9977810724692006,-1.6856629371756504,-1.726580711387302,4.143944961556473,-0.12414777029059706,1.3640355653763951,-1.3659151951390915,1.0,0.4789249151040756,0.47285257280808973,0.4181372867369571,0.8280126111936651,-0.052170002999174264,0.3718288473200909,-0.41643332574606395
0.6000000000000001,-11.862026133674375,-5.1253891541359,-8.94354462408256,-0.1273380314131068,0.156521000167775,0.44219361262599277,-0.04555985088365617,0.04856991863604472,0.9977801618802278,-1.683074095326316,-1.7300826600607597,4.143368386453329,-0.12332210520141562,1.3645357374221392,-1.3661816400172428,1.0,0.4797673806422199,0.4735817145379947,0.41781466097382025,0.8279484891083493,-0.052211117614816366,0.3718773345674309,-0.4165123606996997
0.7000000000000001,-12.023742643450209,-4.81789883357213,-8.792370766775253,-0.126665837897318,0.15378061762792106,0.4458401326195892,-0.04565153916156665,0.048553964069344514,0.9977767424830009,-1.6804076687993847,-1.7335599718917245,4.142735957571922,-0.12242025677641842,1.365055047528448,-1.366442469340702,1.0,0.48135251468916734,0.4750645973240688,0.41690178398357947,0.8279692239608102,-0.052249874868937896,0.37189640202651386,-0.41644925370283425
0.8,-11.927153857014826,-5.537424970664609,-8.940110690367707,-0.14222537065472998,0.150693230619072,0.44526946062856937,-0.04549381979878287,0.04833971456269316,0.9977943247767584,-1.6780061879902919,-1.7367836437621058,4.142147877337674,-0.12154697930152127,1.365608154906758,-1.3666709906324594,1.0,0.4819214479415994,0.4756181454956031,0.4165901380753993,0.8279612154906522,-0.052264475087987344,0.3718983496712041,-0.4164616042312352
0.9,-11.701577095222596,-5.302451840624831,-9.045754118843812,-0.12788213720733474,0.15474916345383452,0.43849729184787606,-0.045371713371751395,0.04817336029810654,0.9978079636303153,-1.6754696987395448,-1.7399546875566143,4.1415709315153935,-0.12086109082357095,1.3661695844307293,-1.3668842384371611,1.0,0.4828265156863358,0.47652816628421835,0.4160892635712485,0.8279325224048313,-0.05225546785043971,0.37193604599558544,-0.41648611274960284
1.0,-12.057968996233285,-4.78856772277498,-8.955811291209848,-0.12762482998505498,0.1544677741249152,0.44805282088406406,-0.04543979918515289,0.04826279239883759,0.9978005423912145,-1.6732176412243112,-1.743093968115594,4.141015396538692,-0.12015558204730029,1.3667145440860005,-1.367101017628805,1.0,0.48393925146352723,0.47758270741825004,0.41541954503614337,0.8279676932476276,-0.05226349030017535,0.3718971574124601,-0.41644991394929776
1.1,-12.054256040635645,-4.929277674847311,-8.84176797457534,-0.13260325601407955,0.15241002167908904,0.44333832255836386,-0.04495809062963697,0.04766794205959059,0.9978502789802084,-1.671000984957547,-1.7460114668334141,4.1405314039307966,-0.1194040172467147,1.3672135163936066,-1.3672690820220523,1.0,0.4844356251948854,0.47809537478912634,0.4150682903929809,0.8280101258443813,-0.052225402527607545,0.37187370993309965,-0.41639126154446804
1.2000000000000002,-12.256958181627148,-4.944368233631243,-8.93672141359576,-0.13294850097368566,0.15632272144640252,0.4415134176737051,-0.04418191716710544,0.046706596215019824,0.9979306287865916,-1.6685649617498417,-1.7489550255336224,4.1400603398863804,-0.11872990473545668,1.367575365324799,-1.367467818711845,1.0,0.4855976082795356,0.4792363569520755,0.41435010051380056,0.8280200331372563,-0.05224148594282945,0.3718446043134248,-0.41639553565432796
1.3,-11.980213038348275,-4.94926227039406,-8.943919310709573,-0.12385776223131005,0.15455459800633925,0.4416253421169135,-0.0440572535568409,0.04655422248740215,0.9979436264582534,-1.6666021347045898,-1.751492948639611,4.13963600728489,-0.11808916367212463,1.368037364623192,-1.3676251755014734,1.0,0.4861309559830597,0.47981550138028817,0.4140638744313146,0.8280062976952899,-0.052233871156312055,0.37184803494828667,-0.41642073986061556
