,/wrench.fx,/wrench.fy,/wrench.fz,/wrench.tx,/wrench.ty,/wrench.tz,/manipulator_pose.x,/manipulator_pose.y,/manipulator_pose.z,/manipulator_pose.rx,/manipulator_pose.ry,/manipulator_pose.rz,/manipulator_pose.rw
4.800000000000001,1.3850690276103037,0.24733953633670386,-2.7289726123591187,0.2632039266322093,0.21098511905783932,-0.017408369943272987,0.48581304466236985,0.4091692837151768,0.45731854508946124,0.49384705789180194,0.18003719378975966,0.7990277150103845,-0.2919869909930985
4.9,1.5915449273208762,0.13114055325208568,-2.355726522409716,0.2589402969033958,0.21016305941171493,-0.026146781851949314,0.4858118611677622,0.40917073152336775,0.45730308945322035,0.49386493661075226,0.18005694952671514,0.7990158729455481,-0.2919769752817088
5.0,1.996060390975919,0.14234658337883113,-2.3120378165706406,0.26207394419638863,0.19728565808218887,-0.025773223036346424,0.4858122326003457,0.4091786611045014,0.45732077193376613,0.49385308090482777,0.18004047272393361,0.7990210243914556,-0.2919930910870689
5.1000000000000005,1.5297074992875548,0.20127328046155918,-2.825439939437303,0.25523237424394657,0.20580464306481913,-0.023214480675051528,0.4858187289660658,0.4091586743143262,0.45735224524576606,0.49382945306242154,0.18001813971675595,0.7990415582839052,-0.291990631350077
5.2,1.866750911052093,-0.11895175180195987,-2.3997337256364295,0.25684221881467306,0.20187206265782479,-0.03303220058061118,0.48580966243094315,0.4091796218622833,0.4573594929993594,0.4938168455674525,0.18001725809830937,0.7990400160783457,-0.2920167161757949
5.300000000000001,1.8117451304235697,0.2329319319427912,-2.466101676198037,0.2525851209548773,0.1998508572165321,-0.026161030904509264,0.4858214671262987,0.4091850152809821,0.45733174351841244,0.4938476840301908,0.18002477966304262,0.7990201195704881,-0.2920143698636306
5.4,1.6486111716391638,0.10868082740092973,-2.665535045503919,0.2528969051169763,0.2100407954881681,-0.02709213923933696,0.4858069886778265,0.40917668603160867,0.4573311083642693,0.4938361079972141,0.1800499927467343,0.7990285751061923,-0.29199526488255356
5.5,1.7394324585374503,-0.05237420739424703,-2.434373289745241,0.25107764909927244,0.19899597121044496,-0.02772494683899612,0.485821772323666,0.40916409839448437,0.4573281026807536,0.49383750915681246,0.18005023903686418,0.7990384230530825,-0.2919657933001848
5.6000000000000005,1.7657316143691655,0.05580734602451609,-2.757635576040058,0.25028431764425624,0.20204618941779584,-0.024284637555193063,0.4858168624723579,0.40916384000605655,0.45735941720860246,0.493817901815584,0.18001659125214492,0.7990379697450973,-0.29202094038963233
5.7,2.7069397633423153,-0.5810059610367354,-2.9537544869051526,0.28566211186984164,0.23057057304347137,0.028963611384715683,0.4858133404475424,0.40917680751097407,0.45733994240747294,0.49383084746808126,0.18004518592369043,0.7990328332951082,-0.29199547330575554
5.800000000000001,3.5245156501374777,-1.0857690660292674,-2.985523125907346,0.32891508952059356,0.2688051884724884,0.09223454237429342,0.48580692555510013,0.40919390579472215,0.4573314995964917,0.4938214769611456,0.18004543203542678,0.7990340987677969,-0.2920077058939092
