,/wrench.fx,/wrench.fy,/wrench.fz,/wrench.tx,/wrench.ty,/wrench.tz,/manipulator_pose.x,/manipulator_pose.y,/manipulator_pose.z,/manipulator_pose.rx,/manipulator_pose.ry,/manipulator_pose.rz,/manipulator_pose.rw
5.800000000000001,-0.9810202395658529,-0.35296580680476636,-2.9185668082110134,0.1887942829598746,-0.010929280880413617,-0.05468341847419049,0.6751420860301575,0.18307296346774146,0.4489009570701859,0.5211163901984839,0.06922896679134889,0.8431818014278528,-0.11264771530921143
5.9,-0.7911086262122601,-0.34960526284951365,-2.6221808233310795,0.18226392731841717,-0.005408581091872743,-0.05357241807222471,0.675139431900437,0.18305552040083822,0.44892526244638614,0.5210826728001394,0.06920712652806402,0.8432055437994517,-0.11263939209291846
6.0,-0.7646628674094864,-0.6434450310728541,-2.55566712616174,0.1781957258365542,-0.016613560015336887,-0.05380768672328452,0.6751435813504661,0.18306510880558166,0.4489123978767071,0.5211003977600277,0.0692025503421134,0.8431955580873293,-0.11263495595189657
6.1000000000000005,-0.9034140257028009,-0.8497814958031035,-2.730635717288398,0.17846904128658667,-0.02179014437221416,-0.054454593160230644,0.6751335598862943,0.18307451939934138,0.4489312099253388,0.5210852554260983,0.06921350503153352,0.843202022759281,-0.11264988288242794
6.2,-0.7498563882309031,-0.282084486311728,-2.860631643571566,0.15306607868351763,-0.01922971567403533,-0.09454413463357411,0.6751354127380311,0.18306397336890853,0.44892394077805686,0.5210916962943537,0.06921354893305992,0.8431982851682268,-0.11264803853829534
6.300000000000001,-1.0872538048449856,0.1747633075677617,-2.998758258835184,0.12225088111625383,-0.04109588986206761,-0.10173381396827218,0.6751402510438584,0.1830377508185783,0.44895300711910413,0.5210765600093847,0.06918894249938712,0.8432124338458298,-0.11262726247403232
6.4,-0.7195727750412401,-1.4767188911986744,-3.5247752755718156,0.21497481136838362,-0.039284977449381024,0.03356372557647422,0.6751328584720893,0.18304455972218417,0.448970034759827,0.5210669754578242,0.06919553449208399,0.8432171809014822,-0.11263201554685709
6.5,-0.5126502647275849,-0.9982465443051391,-4.039646121173503,0.21916587397701248,-0.09288941758881783,-0.04017051874270785,0.6751356776448669,0.18307554184850108,0.4489237074756125,0.521093895273341,0.06922454908784047,0.843195835008411,-0.1126494471220787
6.6000000000000005,-0.5114446928239657,-1.7127958704168016,-4.159666948291578,0.24732733367301568,-0.08865120706116801,-0.00035808157407404807,0.675143402492415,0.183074199827426,0.4489151515696726,0.5210958425627491,0.06923123568176155,0.8431955265706998,-0.11263863831277138
6.7,-0.34325646179854846,-5.248582441745352,-5.5107860473301695,0.41803397388930663,-0.18985986814199907,0.2065785893975719,0.6751492431448968,0.18305224803443024,0.4489102768570872,0.5211018089803502,0.06921868430309844,0.843193615621942,-0.11263305462940801
6.800000000000001,-0.626736852805525,-2.5350764781085915,-3.8766008128303477,0.3278819219284864,-0.1265171478021162,0.05509754749946837,0.6751425942890679,0.1830630873506008,0.44892225084818194,0.5210937881726926,0.06921661642869914,0.8431976423233092,-0.11264128869294861
6.9,-0.6316892307928544,-2.762523119374267,-4.56051472339256,0.3556499692197995,-0.14291918339481907,0.09667429344938554,0.6751452768445738,0.18305136378461315,0.44893078121916535,0.5210920854556095,0.06922176681126388,0.8432009158952412,-0.1126214939897235
7.0,-0.5949755845899237,-3.028999863906,-4.272667442804923,0.35863197141776704,-0.1317401669900138,0.10197985924012247,0.6751397769767608,0.18307106071704096,0.4489136701283965,0.5210888469491374,0.06923424821047205,0.8431985330616619,-0.11264664354791525
7.1000000000000005,-0.6020754568791833,-2.966052610562955,-4.351228398150602,0.36795496285525875,-0.14296799817055622,0.10731198383680643,0.6751373590622869,0.1830814355604598,0.44892286701088085,0.5210824132509021,0.06922562874376487,0.8432019340373323,-0.11265624421819034
7.2,-0.6936807717598586,-3.107782502033068,-4.515692526174174,0.3773059501029739,-0.14962802396508867,0.11982255598343565,0.6751374344530308,0.18307419609318132,0.44892462534056027,0.5210930004194899,0.06921961032818794,0.8431963280713075,-0.11265293066268274
7.300000000000001,-0.7261658446996422,-2.7569353206048177,-4.394624514052641,0.3833574937498254,-0.14399480825506059,0.13005297373864322,0.6751327255174197,0.18306041039521828,0.44893480705106886,0.5210831910902071,0.06921265716911014,0.8432039298704068,-0.11264567768867222
7.4,-0.8075738245641673,-3.0241677020198665,-4.547397400133436,0.380500596431283,-0.13863280691808236,0.11288945774000812,0.6751375136579433,0.1830701271888274,0.4489214945058387,0.5210835515145144,0.0692099437450064,0.8432022807239269,-0.11265802150668704
7.5,-0.7743291948091826,-2.9204293553285896,-4.229844455228073,0.3846853691055788,-0.155016209289356,0.1154919792951483,0.6751422015728608,0.18308092457505507,0.44890666619777725,0.5210970106650373,0.0692301842962309,0.8431947162033188,-0.11263994684425582
7.6000000000000005,-0.9426085240621206,-2.872665141962623,-4.262883729039815,0.38335733675954337,-0.13979919532765478,0.1206801927700071,0.6751457211562031,0.18308584883827633,0.4489139574600901,0.5210929596151839,0.06921423505414748,0.8431981434913581,-0.11264283340756708
7.7,-0.5762765404812451,-3.073990049553926,-4.364358060902944,0.3790609706919759,-0.14522956055244787,0.12001360438054862,0.6751315018394434,0.1830720212790383,0.4489342885190863,0.5210792773144581,0.0692137292583637,0.8432071474926914,-0.11263903787244707
7.800000000000001,-0.6961134660502689,-2.781620115227085,-4.417816713460767,0.37818752564365254,-0.1559273010765642,0.10778153002848392,0.6751416196521738,0.1830554344292676,0.44891690374413995,0.5210911758587005,0.06919380290359703,0.8432026933994827,-0.11262957837883034
7.9,-0.7696817445663124,-2.5001522670639407,-4.547679072488388,0.37432073408785665,-0.14102948875197555,0.11071376797745676,0.6751320495355934,0.18305811476353606,0.44893930158116874,0.5210802230088379,0.06918982555625829,0.8432072605476227,-0.1126485019355694
8.0,-0.9493879456533376,-2.806143992463633,-4.242082770939462,0.36398047432544217,-0.14819415285364912,0.0918585243371279,0.6751409407569928,0.18306649815737386,0.4489077446489215,0.5210962858146904,0.06922284384004694,0.843195164429273,-0.11264445607273471
8.1,-0.9187477687184186,-2.3961119324594304,-4.169564570936791,0.36571757401004434,-0.15786593641791094,0.09925340270428006,0.6751408833474545,0.18306228797877402,0.44890899600252915,0.5210859998993166,0.06921344716348156,0.8432031767384498,-0.11263783635556769
