,/ground_truth.x,/ground_truth.y,/ground_truth.z,/joint_states.elbow_joint,/joint_states.shoulder_lift_joint,/joint_states.shoulder_pan_joint,/joint_states.wrist_1_joint,/joint_states.wrist_2_joint,/joint_states.wrist_3_joint,/wrench.fx,/wrench.fy,/wrench.fz,/wrench.tx,/wrench.ty,/wrench.tz,/manipulator_pose.x,/manipulator_pose.y,/manipulator_pose.z,/manipulator_pose.rx,/manipulator_pose.ry,/manipulator_pose.rz,/manipulator_pose.rw
0.0,0.006645955776774348,0.3490927267509672,0.9370646185836853,-1.3873262405395508,-1.9017306766905726,4.120742321014404,-0.30061037958178716,1.414492130279541,-0.7330954710589808,-7.820204069552323,-9.361258646454669,-6.794935046034921,-0.28282867062401285,0.3445756640715606,-0.0008899615317092644,0.5299497575751873,0.5380986877814757,0.43471545185142363,0.7874376493844568,-0.3064643357472386,0.2050695179627436,-0.4939312219827911
0.1,0.006638124848684177,0.34940588889140994,0.9369477997983495,-1.387434959411621,-1.9013905732676484,4.120754718780518,-0.30067027247167527,1.4145048351668252,-0.7330600281900019,-7.8512096419932105,-9.51106542767545,-7.228607422167489,-0.2836084287348492,0.3366065582820341,0.006298678541633092,0.5299262860437999,0.5380121022327441,0.4348260157388605,0.7874013720449916,-0.3064727689094676,0.20507947163561188,-0.49397968736810105
0.2,0.006630293920594005,0.34971905103185275,0.9368309810130139,-1.3883519963955422,-1.9000487504484938,4.120811537811916,-0.3005741399577637,1.4143738454302588,-0.7330265011507866,-8.246613765159285,-9.78491232731004,-6.623248809841535,-0.287397865577612,0.35354846469527584,0.012042180236301728,0.529785880396154,0.5378177296912875,0.43507532844935554,0.7873326251307364,-0.3064514280668359,0.2051054890122109,-0.4940916898892372
0.30000000000000004,0.006622462992503834,0.3500322131722955,0.9367141622276781,-1.3897055444252313,-1.8992867748853304,4.120911120286257,-0.3005201355363178,1.4142756544985327,-0.7329456229098115,-8.188832306129823,-9.912645668852,-6.030350873293428,-0.31809569992670317,0.42776754404654577,0.027509781133150557,0.5295276880774797,0.5374207348157786,0.4353159935913489,0.7872534292202119,-0.30651719836913904,0.20514601332616053,-0.4941602558900642
0.4,0.00662229867550991,0.35007892858986295,0.9366967725707834,-1.391156239281507,-1.898188309792871,4.121100867550418,-0.3004500922827211,1.4141782975753767,-0.732902334506431,-8.366177257862965,-9.391354043000632,-6.612979503807146,-0.316249124685234,0.4670224984247708,-0.012240225224737245,0.5291293920412095,0.53711352037534,0.4350805049768452,0.7874364786032717,-0.30649205747360136,0.20509157130674058,-0.49390673031394294
0.5,0.006630112620955011,0.34984836610009556,0.9367828538831118,-1.3925770742664556,-1.897014572041986,4.121291831876121,-0.3004041035477522,1.4140289364134737,-0.7327860132133219,-8.38757601802328,-9.571692378239181,-6.85003799879144,-0.26812723656919074,0.4695501030492566,0.007038329398376914,0.5288369133728039,0.5368850423118012,0.4350835855851308,0.7874744166355122,-0.30649392329012576,0.2050434740068946,-0.49386505433971606
0.6000000000000001,0.0066686836707260345,0.34872312225846536,0.9371994719172869,-1.3936536386213263,-1.8957051165299397,4.121414045372885,-0.30032189310107427,1.4139276617163787,-0.7327961328274192,-8.776561553377388,-9.46105672079607,-6.1783393178069135,-0.2540995151179278,0.4621773971988193,0.021940771859300327,0.5284042590593849,0.5363698453704158,0.43538708051359565,0.7874164021681389,-0.3065058498229838,0.20508263901354298,-0.49393388707003555
0.7000000000000001,0.006740629449421762,0.34662705400904964,0.9379747574441623,-1.3948250090289818,-1.8944081952774863,4.1215655595185785,-0.30025539516696814,1.413778829448266,-0.7327102817499462,-8.458748519522661,-9.679766710200505,-6.347507984702944,-0.2543616756796684,0.5076518727374191,0.028475097694884093,0.528223727119404,0.5361693402721759,0.43555760999177395,0.7873864602441744,-0.3064844334660982,0.2051078786546125,-0.4939844252412405
0.8,0.00681257522811749,0.3445309857596339,0.9387500429710376,-1.3962374692034718,-1.8933191864576742,4.121735309427884,-0.30025079643879143,1.4136520608054672,-0.7326648043429279,-8.247697381794277,-9.079973096117463,-7.300282971872342,-0.2101014657143301,0.4694759609700044,0.03230037187004344,0.5277420066615228,0.5357168229530854,0.4356554540095343,0.7874314489162066,-0.3064731511841645,0.20507396885426546,-0.49393378924642467
0.9,0.006882533650351045,0.34254954037608953,0.9394675958823674,-1.397648811340332,-1.8921223772989624,4.121859993253436,-0.30017551771742473,1.4135084118161882,-0.7326010045498429,-8.27407504623098,-9.527588315341042,-7.154642779908491,-0.22072788827444376,0.5006558852949008,0.037524176833762905,0.5275311408434089,0.5355061436062516,0.4356908183679816,0.787466362247507,-0.3064656931750601,0.20506608511407548,-0.4938860273093326
